Symbol,Yahoo_Ticker,Big Sectors,Industry
TVSMOTOR,TVSMOTOR.NS,Consumer Discretionary,Automobile & Auto Components
TVSSCS,TVSSCS.NS,Industrials,Industrial Products
TVSSRICHAK,TVSSRICHAK.NS,Consumer Discretionary,Automobile & Auto Components
TVTODAY,TVTODAY.NS,Telecommunication,Telecom - Equipment & Accessories
TVVISION,TVVISION.NS,Telecommunication,Telecom - Equipment & Accessories
UBL,UBL.NS,Fast Moving consumer goods,Beverages - Brewers
UCAL,UCAL.NS,Consumer Discretionary,Automobile & Auto Components
UCOBANK,UCOBANK.NS,Services,Banks - Regional
UDAICEMENT,UDAICEMENT.NS,Commodities,Other Construction Materials
UDS,UDS.NS,Industrials,Industrial Products
UFLEX,UFLEX.NS,Consumer Discretionary,Retailing
UFO,UFO.NS,Telecommunication,Telecom - Equipment & Accessories
UGARSUGAR,UGARSUGAR.NS,Fast Moving consumer goods,Food Products
UGROCAP,UGROCAP.NS,Services,Credit Services
UJJIVANSFB,UJJIVANSFB.NS,Services,Banks - Regional
ULTRACEMCO,ULTRACEMCO.NS,Commodities,Other Construction Materials
UMAEXPORTS,UMAEXPORTS.NS,Fast Moving consumer goods,Farm Products
UMANGDAIRY,UMANGDAIRY.NS,Fast Moving consumer goods,Food Products
UMESLTD,UMESLTD.NS,Fast Moving consumer goods,Diversified FMCG
UMIYA-MRO,UMIYA-MRO.NS,Consumer Discretionary,Realty
UNICHEMLAB,UNICHEMLAB.NS,Healthcare,Pharmaceuticals & Biotechnology
UNIDT,UNIDT.NS,Energy,Oil
UNIECOM,UNIECOM.NS,Information Technology,IT - Software
UNIENTER,UNIENTER.NS,Commodities,Chemicals & Petrochemicals
UNIINFO,UNIINFO.NS,Telecommunication,Telecom - Services
UNIMECH,UNIMECH.NS,Industrials,Aerospace & Defense
UNIONBANK,UNIONBANK.NS,Services,Banks - Regional
UNIPARTS,UNIPARTS.NS,Industrials,"Agricultural, Commercial & Construction Vehicles"
UNITDSPR,UNITDSPR.NS,Fast Moving consumer goods,Beverages
UNITECH,UNITECH.NS,Consumer Discretionary,Realty
UNITEDPOLY,UNITEDPOLY.NS,Consumer Discretionary,"Textiles, Apparels & Accessories"
UNITEDTEA,UNITEDTEA.NS,Fast Moving consumer goods,Farm Products
UNIVASTU,UNIVASTU.NS,Industrials,Construction
UNIVCABLES,UNIVCABLES.NS,Industrials,Electrical Equipment
UNIVPHOTO,UNIVPHOTO.NS,Healthcare,Healthcare Equipment & Supplies
UNOMINDA,UNOMINDA.NS,Consumer Discretionary,Automobile & Auto Components
UPL,UPL.NS,Commodities,Fertilizers & Agrochemicals
URAVIDEF,URAVIDEF.NS,Consumer Discretionary,Automobile & Auto Components
URJA,URJA.NS,Information Technology,IT - Hardware
USHAMART,USHAMART.NS,Commodities,Ferrous Metals
USK,USK.NS,Industrials,Construction
UTIAMC,UTIAMC.NS,Services,Asset Management
UTKARSHBNK,UTKARSHBNK.NS,Services,Banks - Regional
UTTAMSUGAR,UTTAMSUGAR.NS,Fast Moving consumer goods,Food Products
UYFINCORP,UYFINCORP.NS,Services,Credit Services
V2RETAIL,V2RETAIL.NS,Consumer Discretionary,"Textiles, Apparels & Accessories"
VADILALIND,VADILALIND.NS,Fast Moving consumer goods,Food Products
VAIBHAVGBL,VAIBHAVGBL.NS,Consumer Discretionary,"Textiles, Apparels & Accessories"
VAISHALI,VAISHALI.NS,Healthcare,Pharmaceuticals & Biotechnology
VAKRANGEE,VAKRANGEE.NS,Information Technology,IT - Services
VALIANTLAB,VALIANTLAB.NS,Healthcare,Pharmaceuticals & Biotechnology
VALIANTORG,VALIANTORG.NS,Commodities,Chemicals & Petrochemicals
VARDHACRLC,VARDHACRLC.NS,Consumer Discretionary,"Textiles, Apparels & Accessories"
VARDMNPOLY,VARDMNPOLY.NS,Consumer Discretionary,"Textiles, Apparels & Accessories"
VARROC,VARROC.NS,Consumer Discretionary,Automobile & Auto Components
VASCONEQ,VASCONEQ.NS,Industrials,Construction
VASWANI,VASWANI.NS,Commodities,Ferrous Metals
VBL,VBL.NS,Fast Moving consumer goods,Beverages
VCL,VCL.NS,Consumer Discretionary,"Textiles, Apparels & Accessories"
VEDL,VEDL.NS,Commodities,Minerals & Mining
VEEDOL,VEEDOL.NS,Commodities,Fertilizers & Agrochemicals
VENKEYS,VENKEYS.NS,Fast Moving consumer goods,Farm Products
VENTIVE,VENTIVE.NS,Consumer Discretionary,Leisure Services
VENUSPIPES,VENUSPIPES.NS,Commodities,Ferrous Metals
VENUSREM,VENUSREM.NS,Healthcare,Pharmaceuticals & Biotechnology
VERANDA,VERANDA.NS,Fast Moving consumer goods,Diversified FMCG
VERTOZ,VERTOZ.NS,Information Technology,IT - Software
VESUVIUS,VESUVIUS.NS,Industrials,Industrial Manufacturing
