Company Name,Symbol,SERIES
Dai-Ichi Karkaria Limited,DAICHI,EQ
Dalmia Bharat Limited,DALBHARAT,EQ
Dalmia Bharat Sugar and Industries Limited,DALMIASUG,EQ
Dam Capital Advisors Limited,DAMCAPITAL,EQ
Damodar Industries Limited,DAMODARIND,EQ
Dangee Dums Limited,DANGEE,EQ
Datamatics Global Services Limited,DATAMATICS,EQ
Data Patterns (India) Limited,DATAPATTNS,EQ
Davangere Sugar Company Limited,DAVANGERE,EQ
D.B.Corp Limited,DBCORP,EQ
Deepak Builders & Engineers India Limited,DBEIL,EQ
Dilip Buildcon Limited,DBL,EQ
Dhampur Bio Organics Limited,DBOL,BE
Valor Estate Limited,DBREALTY,EQ
DB (International) Stock Brokers Limited,DBSTOCKBRO,EQ
Dishman Carbogen Amcis Limited,DCAL,EQ
DCB Bank Limited,DCBBANK,EQ
Dc Infotech And Communication Limited,DCI,BE
DCM  Limited,DCM,EQ
DCM Financial Services Limited,DCMFINSERV,BE
DCM Nouvelle Limited,DCMNVL,EQ
DCM Shriram Limited,DCMSHRIRAM,EQ
DCM Shriram International Limited,DCMSIL,BE
DCM Shriram Industries Limited,DCMSRIND,EQ
DCW Limited,DCW,EQ
DCX Systems Limited,DCXINDIA,EQ
Ddev Plastiks Industries Limited,DDEVPLSTIK,EQ
Deccan Cements Limited,DECCANCE,EQ
Deccan Gold Mines Limited,DECNGOLD,EQ
DEE Development Engineers Limited,DEEDEV,EQ
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,EQ
Deepak Nitrite Limited,DEEPAKNTR,EQ
Deep Industries Limited,DEEPINDS,EQ
Delhivery Limited,DELHIVERY,EQ
DELPHI WORLD MONEY LIMITED,DELPHIFX,EQ
Delta Corp Limited,DELTACORP,EQ
Delta Manufacturing Limited,DELTAMAGNT,EQ
Den Networks Limited,DEN,EQ
De Nora India Limited,DENORA,EQ
Denta Water and Infra Solutions Limited,DENTA,EQ
Dev Information Technology Limited,DEVIT,EQ
Dev Accelerator Limited,DEVX,EQ
Devyani International Limited,DEVYANI,EQ
Digicontent Limited,DGCONTENT,EQ
Dhampur Sugar Mills Limited,DHAMPURSUG,EQ
Dhanlaxmi Bank Limited,DHANBANK,EQ
Dhanuka Agritech Limited,DHANUKA,EQ
DHARAN INFRA-EPC LIMITED,DHARAN,BZ
Dharmaj Crop Guard Limited,DHARMAJ,EQ
Dhruv Consultancy Services Limited,DHRUV,EQ
Dhunseri Investments Limited,DHUNINV,EQ
